Title,Platform,MiloType,MiloMagic
Guitar Hero,PS2,ButtonEx,4
Guitar Hero,PS2,Cam,9
Guitar Hero,PS2,CamAnim,0
Guitar Hero,PS2,CreditList,0
Guitar Hero,PS2,EnvAnim,3
Guitar Hero,PS2,Environ,1
Guitar Hero,PS2,Flare,3
Guitar Hero,PS2,Font,7
Guitar Hero,PS2,LabelEx,6
Guitar Hero,PS2,Light,3
Guitar Hero,PS2,LightAnim,1
Guitar Hero,PS2,List,2
Guitar Hero,PS2,Mat,21
Guitar Hero,PS2,MatAnim,5
Guitar Hero,PS2,Mesh,25
Guitar Hero,PS2,MeshAnim,0
Guitar Hero,PS2,Morph,3
Guitar Hero,PS2,Movie,6
Guitar Hero,PS2,MultiMesh,0
Guitar Hero,PS2,ParticleSys,22
Guitar Hero,PS2,ParticleSysAnim,2
Guitar Hero,PS2,PictureEx,1
Guitar Hero,PS2,PictureToggle,0
Guitar Hero,PS2,Placer,0
Guitar Hero,PS2,Slider,1
Guitar Hero,PS2,Tex,8
Guitar Hero,PS2,Text,15
Guitar Hero,PS2,TextEntry,0
Guitar Hero,PS2,TransAnim,4
Guitar Hero,PS2,View,7
Guitar Hero Encore: Rocks the 80s,PS2,AnimFilter,1
Guitar Hero Encore: Rocks the 80s,PS2,AnimFilter,12
Guitar Hero Encore: Rocks the 80s,PS2,BandButton,10
Guitar Hero Encore: Rocks the 80s,PS2,BandButton,12
Guitar Hero Encore: Rocks the 80s,PS2,BandCharacter,1
Guitar Hero Encore: Rocks the 80s,PS2,BandCrowdMeterDir,3
Guitar Hero Encore: Rocks the 80s,PS2,BandLabel,12
Guitar Hero Encore: Rocks the 80s,PS2,BandLabel,10
Guitar Hero Encore: Rocks the 80s,PS2,BandLabel,1
Guitar Hero Encore: Rocks the 80s,PS2,BandLabel,0
Guitar Hero Encore: Rocks the 80s,PS2,BandLabel,6
Guitar Hero Encore: Rocks the 80s,PS2,BandLeadMeter,8
Guitar Hero Encore: Rocks the 80s,PS2,BandPlacer,2
Guitar Hero Encore: Rocks the 80s,PS2,BandScoreDisplay,3
Guitar Hero Encore: Rocks the 80s,PS2,BandSlider,2
Guitar Hero Encore: Rocks the 80s,PS2,BandStarMeterDir,4
Guitar Hero Encore: Rocks the 80s,PS2,BandStreakDisplay,4
Guitar Hero Encore: Rocks the 80s,PS2,BandTextEntry,3
Guitar Hero Encore: Rocks the 80s,PS2,Cam,12
Guitar Hero Encore: Rocks the 80s,PS2,CamAnim,2
Guitar Hero Encore: Rocks the 80s,PS2,CamShot,20
Guitar Hero Encore: Rocks the 80s,PS2,CharBone,2
Guitar Hero Encore: Rocks the 80s,PS2,CharClipFilter,0
Guitar Hero Encore: Rocks the 80s,PS2,CharClipGroup,1
Guitar Hero Encore: Rocks the 80s,PS2,CharClipSamples,10
Guitar Hero Encore: Rocks the 80s,PS2,CharDriver,3
Guitar Hero Encore: Rocks the 80s,PS2,CharDriverMidi,3
Guitar Hero Encore: Rocks the 80s,PS2,CharEyes,3
Guitar Hero Encore: Rocks the 80s,PS2,CharForeTwist,1
Guitar Hero Encore: Rocks the 80s,PS2,CharHair,2
Guitar Hero Encore: Rocks the 80s,PS2,CharIKHand,2
Guitar Hero Encore: Rocks the 80s,PS2,CharIKMidi,4
